,类别,标题,经度,纬度
1479,三星半店铺,郑州巴鼎毛肚火锅(佛岗店),113.6794159,34.69813221
1480,三星半店铺,郑州冬来顺·老北京羊蝎子火锅,113.6877059,34.73079325
1482,三星半店铺,郑州幸福里小郡肝串串香火锅(德化广场店),113.6719509,34.75666122
1483,四星半店铺,郑州筷鱼·荷叶包包鱼(无限城店),113.6722338,34.7552531
1484,三星半店铺,郑州老北京铜锅涮肉(保全街店),113.6598487,34.73780965
1486,三星半店铺,郑州龙泉王婆大虾,113.6711203,34.75584091
1489,四星半店铺,郑州潮掌门鸭爪爪特色火锅(百年德化店),113.671869,34.75600817
1492,三星半店铺,郑州八零地锅,113.6612586,34.73755795
1493,三星半店铺,郑州王婆大虾(百年德化尚潮汇店),113.6711203,34.75584091
1494,三星半店铺,郑州潮辣矿泉水火锅(连云路店),113.6770718,34.71270591
1503,三星半店铺,郑州和胜记炖羊肉(鑫苑鑫都汇店),113.6600144,34.73778822
1505,三星半店铺,郑州小郡肝串串香火锅,113.6719509,34.75666122
1511,三星半店铺,郑州胡涂老串串牛油火锅(橄榄城店),113.6782806,34.70194607
1514,三星半店铺,郑州津门羊大爷铜锅涮肉(建云街店),113.6598487,34.73780965
1515,四星店铺,郑州锅大侠市集火锅(百年德化店),113.6711615,34.756897
1518,三星半店铺,郑州这村那店农家大锅台(保全街店),113.6641677,34.7374169
1519,三星半店铺,郑州大红门串串香,113.6652862,34.74140312
1525,四星店铺,郑州锅玖玖火锅（原傣妹）(德化店),113.6709555,34.75632632
1527,四星店铺,郑州同源跷脚牛肉,113.6592959,34.73782329
1530,四星店铺,郑州佰人王串串香火锅直营店(碧云路店),113.6721035,34.72587353
1532,三星半店铺,郑州呷哺呷哺(尚潮汇店),113.672383,34.75644895
1536,三星半店铺,郑州福满家三汁焖锅(橄榄城店),113.6790255,34.70316111
1537,四星店铺,郑州锅大侠市集火锅(德化步行街店),113.673155,34.75500301
1539,三星半店铺,郑州川府肥牛王婆大虾(连云路店),113.6770587,34.72339487
1543,四星店铺,郑州傣妹火锅(无限城店),113.6727852,34.75525569
1544,三星半店铺,郑州苗岭啤酒鸭(太和路店),113.8369393,34.7500381
1546,三星半店铺,郑州虾悦客音乐火锅吧(百年德化店),113.6723128,34.75686133
1548,三星半店铺,郑州佰人王串串香火锅(保全街店),113.65903,34.73762091
